ITEM: TIMESTEP
10000000
ITEM: NUMBER OF ATOMS
6086
ITEM: BOX BOUNDS pp pp pp
-29.5011 29.5011
-29.5011 29.5011
-29.5011 29.5011
ITEM: ATOMS id mol type x y z 
1353 7 3 -3.13976 -4.62325 -15.1593 
1349 7 3 -3.38083 -2.29206 -15.2384 
1354 7 3 -3.33951 -4.07008 -15.293 
1345 7 3 -2.83578 -1.52357 -15.3839 
1346 7 3 -2.65367 -0.418642 -16.0256 
1347 7 3 -2.51837 -0.929792 -16.5915 
1348 7 2 -2.55575 -1.05618 -15.8036 
1344 7 2 -2.89791 -1.74093 -16.2233 
1335 7 5 -1.60533 -0.49071 -15.3334 
1306 7 3 -1.12568 -0.206914 -15.1746 
4029 28 3 -3.47922 -8.6233 -13.2322 
4033 28 3 -1.25 -10.2676 -13.2662 
4034 28 2 -0.482175 -10.3802 -13.248 
701 4 1 -7.62684 -6.54068 -13.0572 
1352 7 2 -3.70784 -6.42302 -14.4793 
322 2 3 -2.82116 -6.8003 -13.8072 
321 2 2 -4.1903 -6.64754 -14.5119 
320 2 2 -4.18708 -8.09407 -13.9586 
703 4 3 -7.76029 -5.25173 -13.5405 
704 4 3 -7.8971 -5.52069 -13.7623 
702 4 2 -7.27613 -5.67924 -13.2401 
328 2 3 -5.78507 -4.82172 -12.7693 
325 2 2 -5.06269 -6.21861 -13.4055 
1351 7 3 -4.02877 -4.8051 -14.4536 
324 2 5 -4.16005 -6.31778 -12.9973 
323 2 2 -4.13476 -6.23346 -13.0072 
319 2 3 -3.72528 -6.28818 -13.7902 
1357 7 2 -3.22852 -4.59919 -14.0056 
707 4 2 -7.45403 -3.93882 -13.37 
705 4 3 -7.55231 -4.09972 -14.55 
706 4 3 -7.59112 -3.71338 -14.1738 
1358 7 3 -4.81582 -3.66305 -13.1673 
1360 7 3 -5.47759 -3.71348 -12.7069 
1359 7 2 -5.02778 -3.58268 -12.7016 
1356 7 2 -3.9692 -3.20927 -14.3164 
1350 7 3 -4.02153 -3.60426 -14.4012 
1355 7 3 -3.48432 -3.94355 -14.7233 
1756 10 2 -0.737485 -2.54742 -14.5415 
1393 7 3 -9.17197 -0.00945944 -12.7044 
1791 10 3 -2.57434 -0.964164 -12.9114 
1343 7 2 -3.89476 -0.705095 -14.524 
1333 7 2 -3.04343 -1.47374 -12.7482 
1792 10 2 -2.60723 -0.460296 -12.857 
1302 7 2 -0.0486088 -0.302664 -13.3414 
1311 7 2 -1.25154 -0.647669 -13.7982 
1337 7 3 -0.828025 -1.34618 -12.9658 
1336 7 1 -1.14458 -0.0597213 -14.0975 
1334 7 4 -1.92753 -0.47956 -14.4688 
1308 7 2 -0.700447 -0.0760109 -13.5613 
4036 28 2 -0.263181 -11.1845 -10.9768 
4027 28 3 -4.24112 -9.27674 -11.063 
4026 28 3 -4.52749 -8.94343 -10.6274 
4032 28 3 -2.12901 -9.01811 -11.2068 
4038 28 2 -2.13246 -9.59209 -10.9775 
4035 28 3 -0.358054 -10.3899 -12.5028 
2385 15 2 -0.0906586 -8.87235 -10.5814 
820 4 4 -7.39094 -8.26581 -10.5651 
4044 28 2 -4.26989 -7.84896 -10.6666 
4030 28 3 -3.142 -8.16942 -11.4366 
4045 28 3 -2.66046 -6.87031 -11.1605 
1740 10 3 -0.254414 -6.76418 -10.5965 
720 4 3 -6.73275 -6.12159 -10.9369 
717 4 2 -7.54783 -4.33622 -11.0643 
700 4 3 -8.28418 -4.80525 -11.8999 
327 2 3 -4.94008 -5.14698 -12.0906 
317 2 3 -5.04792 -5.00507 -10.7845 
326 2 3 -5.01579 -5.56186 -12.1783 
1797 10 3 -1.57595 -4.61016 -12.1275 
1798 10 3 -1.07905 -4.68263 -10.8544 
2390 15 1 -1.63671 -5.3993 -10.8341 
2391 15 3 -0.658672 -6.32093 -10.9376 
1796 10 2 -1.38158 -5.84925 -11.6032 
1794 10 3 -0.848065 -4.35281 -12.035 
1795 10 2 -1.26499 -4.51933 -12.2925 
712 4 3 -6.64294 -3.16641 -10.6622 
711 4 3 -6.71031 -3.59736 -10.7546 
710 4 3 -6.59404 -3.18724 -11.1046 
709 4 2 -7.41257 -2.23958 -11.9178 
708 4 3 -7.86834 -3.64827 -12.3643 
713 4 3 -6.08566 -2.59235 -10.5894 
